,SingIndex Nanotech
2000,-0.07953374395993529
2001,0.07060103482788471
2002,0.2207358136157047
2003,0.3708705924035247
2004,0.5210053711913447
2005,0.6711401499791647
2006,0.8212749287669847
2007,0.9714097075548047
2008,1.0898813763650834
2009,1.2427292675361774
2010,1.3219515790653649
2011,1.4758474153008971
2012,1.7276598868449746
2013,1.7470466588190776
2014,2.015537577931375
2015,2.25841579792793
2016,2.2869670172973775
2017,2.5196099084722663
2018,2.802726841213982
2019,3.1146312693793123
2020,3.438941114661676
2021,3.7839648782496282
2022,4.159663023730853
2023,4.559846643019131
2024,4.982260778469938
2025,5.429812727337912
2026,5.877364676205885
2027,6.324916625073858
2028,6.772468573941832
2029,7.220020522809805
2030,7.6675724716777784
