Year,Investment in telecommunication infrastructure in OECD area (USD billion),Revenue in telecommunication in OECD area (USD billion),Subscription (million) of mobile broadband,Subscription (million) of cellular mobile,Subscription (million) of access telephone lines,Subscription (million) of fixed broadband,Subscription (million) of M2M SIM cards,Subscription (million) of fibre fixed broadband ,Subscription (million) of cable fixed broadband,Number of machine to machine connections worldwide in billions,Forecast of 5G smartphone subscriptions worldwide (in million),Asia-Pacific 5G Subscription forcast 2021-2024 (in 1000 unit),Global 5G network infrastructure spending (billion USD),Percentage of 5G connections (excluding liscensed cellular IoT) (visual estimate),Number of Internet of Things (IoT) connected devices worldwids form 2019 to 2030 ( in billion),Number of internet users (in million) worldwide from 2005 to 2019
1990,0.5480607082630691,0.32137016172996546,,,,,,,,,,,,,,
1991,0.6025857223159078,0.34753770670543344,,,,,,,,,,,,,,
1992,0.5480607082630691,0.37425040886789024,,,,,,,,,,,,,,
1993,0.5997751545812254,0.39642013447210617,,,,,,,,,,,,,,
1994,0.6200112422709387,0.4293112847537707,,,,,,,,,,,,,,
1995,0.7290612703766159,0.49563874250408874,,,,,,,,,,,,,,
1996,0.7481731309724564,0.5223514446665456,,0.10101010101010101,0.9397089397089398,,,,,,,,,,,
1997,0.8521641371557054,0.6436489187715791,,0.14393939393939395,1.002079002079002,,,,,,,,,,,
1998,0.9201798763350196,0.6600036343812467,,0.20707070707070707,1.0145530145530146,0.002612915266890631,,,,,,,,,,
1999,1.1416526138279932,0.7504088678902417,,0.3055555555555556,1.130977130977131,0.014184397163120569,,,,,,,,,,
2000,1.3406408094435076,0.8017445029983645,,0.4335016835016835,1.1413721413721414,0.05412467338559164,,,,,,,,,,
2001,1.2074198988195617,0.8429947301471925,,0.5193602693602694,1.1476091476091477,0.1280328480776409,,,,,,,,,,
2002,0.8353007307476109,0.8453570779574778,,0.5757575757575758,1.137214137214137,0.21463232549458755,,,,,,,,,,
2003,0.822372119168072,0.9488460839542069,,0.6405723905723906,1.1413721413721414,0.3296005972377753,,,,,,,,,,
2004,0.9449128724002248,1.0,,0.7323232323232324,1.133056133056133,0.45688689809630467,,,,,,,,,,
2005,0.9747048903878583,1.0710521533708885,,0.819023569023569,1.1226611226611227,0.60321015304218,,,,,,,,,,0.4448038819247877
2006,1.102866779089376,1.0761402871161188,,0.9090909090909091,1.0893970893970895,0.7607316162747295,,,,,,,,,,0.4917104731095835
2007,1.135469364811692,1.1788115573323643,,1.0,1.0478170478170479,0.8954833893243749,,,,,,,,,,0.5588354225636878
2008,1.159078133783024,1.239778302743958,,1.0631313131313131,1.0,1.0,,,,,,,,,,0.634856449656288
2009,1.0,1.1788115573323643,0.4084934277047523,1.0976430976430978,0.9355509355509356,1.082493467711833,,0.4772557792692021,0.7012324691882703,,,,,,,0.7165386170642943
2010,0.9881956155143339,1.1934399418499002,0.5621840242669363,1.1355218855218856,0.8877338877338877,1.1571481896229938,,0.5682326621923938,0.7641308967275818,,,,,,,0.8228871815608573
2011,1.0775716694772344,1.2440487007087044,0.7219413549039434,1.186026936026936,0.8378378378378378,1.2131392310563645,,0.6457867263236391,0.8159796005099872,,,,,,,0.9065911847957946
2012,1.0792580101180438,1.1922587679447576,0.7997977755308392,1.223063973063973,0.7879417879417879,1.257932064203061,0.2590909090909091,0.7278150633855331,0.8729281767955801,,,,,,,1.0
2013,1.1388420460933109,1.1925313465382519,0.9322548028311426,1.245791245791246,0.7338877338877339,1.3064576334453155,0.6606060606060606,0.8202833706189411,0.9162770930726731,,,,,,,1.075616659927214
2014,1.0865654862282181,1.2027076140287118,1.0677451971688574,1.3063973063973064,0.6777546777546778,1.351250466592012,0.8212121212121213,0.9306487695749441,0.96217594560136,0.3846153846153846,,,,,,1.1479983825313385
2015,1.0468802698145026,1.1245684172269672,1.1951466127401416,1.3409090909090908,0.6340956340956341,1.4109742441209407,1.0,1.069351230425056,1.03782405439864,0.4615384615384615,,,,,,1.225232511120097
2016,1.0766160764474424,1.1519171361075777,1.307381193124368,1.388047138047138,0.5987525987525988,1.4669652855543114,1.2257575757575758,1.2304250559284118,1.0981725456863576,0.6153846153846154,,,,,,1.3238980994743226
2017,1.1069702079820123,1.1444666545520625,1.391304347826087,1.4175084175084176,0.5571725571725572,1.515490854796566,1.6962121212121213,1.4093959731543624,1.141521461963451,0.8461538461538461,,,0.2896551724137931,,,1.4120501415285078
2018,1.1378864530635189,1.1689987279665637,1.500505561172902,1.4670033670033669,0.5218295218295218,1.5640164240388206,2.0598484848484846,1.5973154362416107,1.1933701657458564,1.1538461538461537,,,0.3724137931034483,,,1.5131419328750506
2019,,,,,,,,1.809097688292319,1.2409689757756055,1.5384615384615383,,0.025415666198523083,0.27586206896551724,0.0,0.4961538461538461,1.6049332794177114
2020,,,,,,,,2.0686055182699477,1.3098172545686357,2.0,0.13102595797280595,0.2705567888370407,0.496551724137931,0.3333333333333333,0.5602564102564103,
2021,,,,,,,,,,2.5384615384615383,0.3516687268232386,0.5829067186155031,0.7034482758620689,0.7777777777777778,0.6455128205128204,
2022,,,,,,,,,,,0.669344870210136,1.417093281384497,1.2965517241379312,1.0,0.7416666666666666,
2023,,,,,,,,,,,1.0,3.3554568930367417,2.2344827586206897,1.3333333333333333,0.8429487179487178,
2024,,,,,,,,,,,1.3442521631644004,6.45079961944457,3.1862068965517243,1.7777777777777777,0.946153846153846,
2025,,,,,,,,,,,1.7033374536464772,,4.662068965517241,2.2222222222222223,1.0538461538461539,
2026,,,,,,,,,,,2.0716934487021015,,5.76551724137931,,1.1634615384615383,
2027,,,,,,,,,,,,,,,1.2762820512820512,
2028,,,,,,,,,,,,,,,1.392307692307692,
2029,,,,,,,,,,,,,,,1.5108974358974359,
2030,,,,,,,,,,,,,,,1.6307692307692307,
